MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,pS6_N,pCFOS_N,SYP_N,CaNA_N
309_1,0.1511223969524544,0.21288505423836745,0.8246378617106146,0.6121193933605024,0.6304823165775357,0.3270058915068623,0.4486663368600233,0.1682572007531255,0.6173220532907517,0.23255278560203704,0.15764339066089744,0.5761668226865776,0.7476881196185754,0.598503711911627,0.5747745934891253,0.28669707326349114,0.6506370545005071,0.6981641292727225,0.6227841463852611,0.711198438908822,0.13691506534798298,0.4196485374060661,0.3171488772759522,0.5937148262220949,0.6279069014285814,0.5962687482403333,0.6401673629489033,0.643070062596054,0.766146141681785,0.2955959198183028,0.5498170737194191,0.7474408486274218,0.09203488607996974,0.5411956554070974,0.15233784065632738,0.6872692643314262,0.5539216709292216,0.46727791533377205,0.5099961024356087,0.4694612591030045,0.4361703027175652,0.5060175357116503,0.16336828850090326,0.323058647493246,0.3732541649367292,0.6045159215952501,0.3033634537092214,0.17845795697111466,0.3240854499710974,0.4028095578224251,0.08358365797533207,0.3278696186945929,0.6902572119447284,0.426816228719301,0.41272060357355456,0.4778340226628771,0.05716794697700628,0.22882535586588004,0.5311629504180752,0.15110300982406133,0.24260848787400424,0.16970154862465814,0.4328430116573174,0.48378312347761443,0.044769562871585844,0.25669888880139935,0.4052283247995794,0.16294067887548203,0.426816228719301,0.13392993980659523,0.33629928258557495,0.7057376421501194
309_2,0.15575040489822883,0.18822566140207259,0.7764546313144566,0.6010701185068966,0.5852468543159262,0.3118868290605952,0.429899394798499,0.1549249343244839,0.590172705684129,0.20536240196532388,0.1597209102854996,0.5595559546532822,0.6885446024157331,0.559597647722151,0.5027661255382081,0.27068780561494765,0.5879255311091459,0.5916055440918282,0.6293109749226466,0.6890947174861389,0.12891067195534162,0.3836692684176747,0.2915829300181758,0.5480316015229029,0.5787356747879668,0.5842336074458663,0.6143549299094513,0.586179902026336,0.7245928502610564,0.25183956499671256,0.49196919451426757,0.7019760587546413,0.07558929904405468,0.46765000743569335,0.13745050321729385,0.6210331081532702,0.5121165737110169,0.4098970269634902,0.45769390427305956,0.41004618922090796,0.38310091128308055,0.4474960075372297,0.1455944311436245,0.3227355332803611,0.3769143983764119,0.6189179771880876,0.3020588901483265,0.1774518127761857,0.3240042098860208,0.38652391826400556,0.0845136015789256,0.32642607807606866,0.6648943138980338,0.4299524833062237,0.4632508447373612,0.4880283609869477,0.0751029175141611,0.2519113305502694,0.5768280784130096,0.14955491078804634,0.28585967324659933,0.21242056175024226,0.4723271319079346,0.47764030645540023,0.054452127460458466,0.22608837321730146,0.4334711066941206,0.2200099943939683,0.4299524833062237,0.11043366686424744,0.3652078095425749,0.7497710473090113
309_3,0.15345858780562657,0.20569615041782358,0.7935719238742304,0.5589106815609587,0.5759096870692306,0.30636944310439024,0.4413813114168225,0.15348485530802547,0.6071018009936546,0.19919444034349118,0.15455406577753547,0.5419381244076404,0.6709049417986179,0.5605734084490638,0.5544826149429469,0.28384783200748176,0.5904433191596244,0.5815584202451389,0.6697527174364409,0.6709066195170005,0.1286506698244581,0.41557854816224404,0.29267584446088224,0.5499826278745911,0.599925035466791,0.5807896337009474,0.6257559449156485,0.6135022516729113,0.7303843030243222,0.2705601086864956,0.47244356650434194,0.7107178697516094,0.07644502167038841,0.4706880877627832,0.13747470591556088,0.6161423617353797,0.5101751684595603,0.3756532715308112,0.4677249365478727,0.40022538549272524,0.3563626775495573,0.43237852698032636,0.1257734292712254,0.33432490582159624,0.38331582174315154,0.6575650975440951,0.3325648142952941,0.18974413822624503,0.36955344342406876,0.37323418901822847,0.09448560777435777,0.31243904788301585,0.700211894608486,0.4486521664280759,0.4158627447540709,0.4750091534839417,0.07171777509933752,0.24819153482289347,0.6075346760479848,0.15043413242381126,0.37387879936428114,0.2027328345324283,0.46760268805414895,0.48495308428233774,0.044525654883324495,0.21471898193128836,0.4293867482424307,0.18681628645844206,0.4486521664280759,0.12156013809520733,0.35362128805278537,0.8682285650338653
309_4,0.12516873554545427,0.15768763592701734,0.6373262694236183,0.46815210791928863,0.4806459261688717,0.3355298592731471,0.4443074959813634,0.13207404102986003,0.4869449827808181,0.20513534101697953,0.12702786900223453,0.5542934312014643,0.6570478546583296,0.6406407431130156,0.41324534519337985,0.2112379038682363,0.5223192557944555,0.6275854825605871,0.6877751517854984,0.5934075909431291,0.12150911075352709,0.4018657850439944,0.31959949589233305,0.34208024979786456,0.45205763695180134,0.5457156060773223,0.6255277882090438,0.49222039706873166,0.6672834856304822,0.27720769368159104,0.44078044033292685,0.5363302377871223,0.07693609283279243,0.47953275608198637,0.1449445925709027,0.6056540195642149,0.5143045706178442,0.3381988726897669,0.4611887008664488,0.40671511335678723,0.4027863676576475,0.42298936136016513,0.267936239481405,0.22041439756605663,0.3115012320047,0.5494437121124568,0.3641894058438175,0.18110129493115779,0.231762234922756,0.3330329941022149,0.07624835630938592,0.3382640284282877,0.6693575230197871,0.39269964108609245,0.3727724810748124,0.3979388745404081,0.0532574255412844,0.24567564668721442,0.5625936988599055,0.1560825347810843,0.24267188370862636,0.18478972873565647,0.3643589070981985,0.4493038794763218,0.1192592402555519,0.20894253182661582,0.40797108051990905,0.1790469007090657,0.39269964108609245,0.15103061674278623,0.26561894521923657,0.7218789560569312
309_5,0.12214624526213302,0.1578376751485241,0.6377867535079341,0.4264668134431221,0.4419766888810043,0.3149758380213092,0.4331004516067692,0.12908598720422038,0.4101943521828265,0.18915165594617275,0.11757172512828368,0.5321608215191769,0.6089700483150327,0.5512358370863502,0.4017055823547625,0.2003640374569957,0.4864892347704428,0.5798392801593824,0.6981269308608596,0.5577012519716936,0.11240737245652467,0.3813475813344728,0.2971959031668334,0.35874560646389486,0.43390909722299664,0.5199768283503604,0.5996229185111732,0.4715240721993016,0.6276852931982506,0.23987407990143272,0.4103947826420401,0.5191858327673324,0.06764531065689403,0.43652193427974934,0.12126075098934092,0.5482367020108447,0.5012944554237524,0.28330374286669013,0.4166981132183324,0.3725482764146236,0.353712011143694,0.3743572109183459,0.262839332018591,0.21252097462603414,0.31739972064090766,0.5595512444128267,0.37619899592381884,0.18180478202990003,0.25871973759893013,0.33712610102503404,0.07969660233731321,0.3302192012444858,0.6865237165062429,0.4101871619795102,0.38500765766704614,0.4221954672382292,0.08016207961450861,0.2347618862679779,0.6562998185766563,0.1470440566107869,0.3255972112225013,0.18762486155201008,0.39333165891957467,0.48033409671665983,0.11696465841480119,0.2155278341428838,0.4803418086572673,0.24570231944626553,0.4101871619795102,0.14771086486607293,0.3503813815596448,0.812053045658325
309_6,0.12744608683934738,0.16239626993827805,0.66026416772504,0.43477157752389306,0.45516521284535794,0.32647574327632256,0.44340149534468615,0.13027367473791646,0.42585647180268515,0.17827405383853454,0.12207188847022127,0.5386475848609956,0.6103535178691755,0.5234994711345354,0.3953276778052174,0.21213358125064277,0.5105093560209705,0.5616236654572409,0.7206195264418184,0.5439311887452515,0.11334927752370301,0.38633251220563325,0.3209571175104299,0.316561703893218,0.4488230909307468,0.5578466495735466,0.6000194800188472,0.5102118383008377,0.6297985354595257,0.2502334435610323,0.3914998310450275,0.5233391633461302,0.06672246551995026,0.4275536611864654,0.09696389441557568,0.5299357492521299,0.5050555487175756,0.2693877544309883,0.41859396841271945,0.36283489329035534,0.32636854971873364,0.36141057144056216,0.25194939281244755,0.22324763831222572,0.32606970238469374,0.5665648663098705,0.3721777847778172,0.16798613837917986,0.291969183839526,0.29557495706484704,0.08754573324403972,0.31525285345837584,0.6604724457602767,0.428685595896077,0.3627127620480156,0.4665099441151469,0.0676792211161007,0.22845142188242318,0.5712573786852643,0.1375335468469399,0.3212239304399527,0.15678338135668024,0.37771859980186284,0.47700019245943537,0.12440033184735932,0.14784860064821337,0.4245567217136441,0.17093297795646423,0.428685595896077,0.14041600405110694,0.3617182397043024,0.7969286646291331
309_7,0.11923294246813265,0.13928510150932527,0.5956555450455678,0.41346162868758773,0.4055722314978334,0.34033636885081425,0.4741117705737749,0.10921691954034696,0.4289649352776306,0.20811727629037888,0.10555700047818045,0.5609228158755587,0.6360372303171333,0.550466316728889,0.3789836522354808,0.18038707193880202,0.4925806156983815,0.5793876820308885,0.7234768474185888,0.5204307506620963,0.12670569223859401,0.392629711126685,0.35163891736557196,0.264655874591463,0.3609462775333071,0.5218523417953895,0.6312040725612778,0.4811215663855132,0.6157513275415938,0.2769665051639669,0.4280562381496956,0.45329044709391775,0.07746210888980146,0.47606334898265606,0.15031574576186574,0.616676246240414,0.5298717956735943,0.3004483436484099,0.45709526998683736,0.3922068957064042,0.40537991004822305,0.37723805279113615,0.33464849303307964,0.1388253168010397,0.2680932202309441,0.5028722856498448,0.42220281104485485,0.17452009210014935,0.19735728347251308,0.25023928764647485,0.06775812962536942,0.314099520997136,0.647361128102867,0.3342290688120687,0.39241963003246483,0.32374952540078594,0.03898238973933468,0.2246049110106293,0.5151197191139184,0.15557046438010097,0.21713815928479718,0.12936209799405207,0.2802050228735985,0.39216413631928804,0.10108610961687825,0.24256131948274606,0.35217854780110414,0.1271658359239809,0.3342290688120687,0.1523250138554328,0.2947676857142507,0.6103787872271984
309_8,0.11454720291529955,0.13518713045543113,0.5563698609317121,0.38293241385382737,0.37526903589648364,0.31860793514031555,0.45697709908989664,0.10849334665854737,0.39802245648470613,0.1751430812633332,0.10297487404304329,0.5232211371299589,0.5925978151886684,0.4976077326070131,0.350748447723057,0.17430176011138884,0.4573188623222796,0.517011652265263,0.7091924712822507,0.5042704315428761,0.10898349704028125,0.3958346616302434,0.2826326379309575,0.25146935727258746,0.3487966220432682,0.501380180408366,0.5993567615991432,0.44053679830309156,0.595174786566242,0.26376460336471663,0.35224579329594863,0.4502897195667195,0.06706405471835764,0.4333532391539681,0.1345499774002059,0.5515985139602417,0.48575164081735106,0.23972478391472474,0.41289245782356565,0.3427979166809779,0.31248804379323414,0.32041191694765675,0.30990168906776294,0.15031760349980794,0.25289168212414587,0.48698845937412794,0.430084023064172,0.16874980200230733,0.22876987421748307,0.3098096893826954,0.07099267469152148,0.3210668581648246,0.654819346090126,0.35236792538628603,0.3682833286936219,0.3664487469804373,0.04608813393923203,0.23597511103437085,0.6167234890508136,0.1331771006650464,0.27592639567450394,0.14387296703648456,0.30749450059267114,0.45661253414238745,0.10003971537984668,0.16822832804031762,0.42501422394175226,0.17632635223141102,0.35236792538628603,0.16165656718526705,0.2473354528182089,0.6908384397863556
309_9,0.1016365444156559,0.12432406097946773,0.5302367510217991,0.3275469323181561,0.3449081584238066,0.3026088840487352,0.4099857862329284,0.0845604024991331,0.3508801903105242,0.146518738616043,0.09582883413384535,0.48685347008956414,0.515202370294602,0.463096687082976,0.27323529339920394,0.15703255207523634,0.42940980653998606,0.5029904972914745,0.663994873455509,0.4797272734395781,0.09181729062382958,0.31055836969357486,0.27560095203674884,0.22173298599455923,0.32036624252342505,0.4735838789531136,0.5401275510307352,0.393013481164179,0.5440946402381412,0.23643466680802294,0.29119168708442555,0.3945235266133358,0.05558989939010875,0.3728662746111709,0.09447186143362085,0.49077528574595464,0.4330496672432292,0.204386769712127,0.37498814426788296,0.2839062536970661,0.2545309707023018,0.24738905846090392,0.29114118239102904,0.1617628202587691,0.27450147528803553,0.4404794014799708,0.4334858608372077,0.17807744776370565,0.2367203916501443,0.28784805660141477,0.07556649381478064,0.31237530387005125,0.6290687585864064,0.4141357581693018,0.3462283018056195,0.3767557344907685,0.054747015815850536,0.24065331307438664,0.5576324089521209,0.12922878332182103,0.2839076507671803,0.12093826631112403,0.3179398590195346,0.4502030084882267,0.08076849042588086,0.171163446861748,0.40622611766614014,0.15071903876127501,0.4141357581693018,0.11730002498513009,0.3534421928490208,0.8087285273091607
309_10,0.09932386475566252,0.10772270735324287,0.6473683331308917,0.3154080949191149,0.27591454840865826,0.34554006716749336,0.4902726135953151,0.061087937086568345,0.3891791752328323,0.17333604283590753,0.08963909009784157,0.6163542470711677,0.6260026442683955,0.5656669373723152,0.26798376199429974,0.1439840430088047,0.4350267511664895,0.4874216997253376,0.7154617848906628,0.4527953633528442,0.09626692390552095,0.4799807903352863,0.41155948928458463,0.17718677168918337,0.2552824236854708,0.4719509050746392,0.6201997422686082,0.5753485072065517,0.5455204182357855,0.33869940741751714,0.3647452502205477,0.30955361638765844,0.09472615088278435,0.4885532027657587,0.2360000613970511,0.6005397095837717,0.5227344031168855,0.27571252117815825,0.4397596484598384,0.38843471987649114,0.42548378469270687,0.3886845555759338,0.37536330596527456,0.11111287589113739,0.2199431342551766,0.4934189805115158,0.47708573854717834,0.18965030484461903,0.17268644995247534,0.19985877751790282,0.06605512742877032,0.3384749109663862,0.5850327025902068,0.2846766791561838,0.2232722503091279,0.31611044849928516,0.0421454192857357,0.3173138030084498,0.5134162609728269,0.16273216786174954,0.2096134083505985,0.15823851062758376,0.2512887221313721,0.36656211270614714,0.24758095110009004,0.19158510394957595,0.3603277191460361,0.1662591391835283,0.2846766791561838,0.18401827023606182,0.3117345089824929,0.6028480061043149
